nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210061103945,140.0,200.0,100.0,120.0,140.0,700.0
210060214087,140.0,200.0,160.0,180.0,200.0,880.0
210059980948,120.0,120.0,120.0,120.0,80.0,560.0
210060801601,120.0,120.0,120.0,120.0,120.0,600.0
210059085130,140.0,200.0,160.0,160.0,200.0,860.0
210060801595,140.0,180.0,120.0,160.0,180.0,780.0
210060214081,140.0,200.0,160.0,180.0,120.0,800.0
210059388087,120.0,120.0,100.0,100.0,120.0,560.0
210059980942,120.0,120.0,100.0,120.0,100.0,560.0
210058061534,160.0,180.0,160.0,180.0,200.0,880.0
210059855117,120.0,120.0,120.0,120.0,0.0,480.0
210058387328,120.0,120.0,120.0,120.0,80.0,560.0
210060801596,100.0,160.0,120.0,120.0,40.0,540.0
210061103941,160.0,180.0,160.0,160.0,160.0,820.0
210059388088,160.0,200.0,160.0,180.0,180.0,880.0
210059980943,120.0,140.0,120.0,120.0,120.0,620.0
210058061535,120.0,120.0,100.0,120.0,80.0,540.0
210058387329,160.0,200.0,160.0,200.0,200.0,920.0
210059085132,120.0,120.0,120.0,120.0,120.0,600.0
210059527731,140.0,140.0,120.0,140.0,140.0,680.0
210060214083,120.0,160.0,120.0,120.0,0.0,520.0
210058061536,160.0,200.0,180.0,140.0,200.0,880.0
210061103943,180.0,200.0,160.0,200.0,200.0,940.0
210059980946,160.0,200.0,180.0,200.0,200.0,940.0
210059855121,120.0,140.0,100.0,120.0,120.0,600.0
210059085135,100.0,160.0,100.0,80.0,100.0,540.0
210059527734,80.0,160.0,120.0,80.0,120.0,560.0
210061103944,120.0,100.0,100.0,100.0,100.0,520.0
210060214086,120.0,120.0,100.0,120.0,140.0,600.0
210059388092,160.0,200.0,140.0,200.0,180.0,880.0
210059980947,140.0,160.0,140.0,120.0,160.0,720.0
210059855119,100.0,120.0,100.0,80.0,0.0,400.0
210058387330,120.0,120.0,120.0,120.0,60.0,540.0
210059085133,120.0,120.0,140.0,120.0,80.0,580.0
210061103942,120.0,180.0,100.0,120.0,80.0,600.0
210059388090,120.0,120.0,120.0,100.0,0.0,460.0
210059980945,80.0,100.0,100.0,100.0,120.0,500.0
210058061537,120.0,200.0,160.0,200.0,180.0,860.0
210058387331,120.0,180.0,120.0,120.0,100.0,640.0
210059085134,160.0,200.0,180.0,180.0,160.0,880.0
210060801599,160.0,160.0,160.0,180.0,180.0,840.0
210059527733,120.0,180.0,120.0,120.0,140.0,680.0
210058941499,160.0,200.0,160.0,160.0,160.0,840.0
210059959486,160.0,180.0,160.0,180.0,160.0,840.0
210058573821,120.0,120.0,120.0,120.0,120.0,600.0
210059246977,140.0,160.0,120.0,140.0,160.0,720.0
210059589782,160.0,180.0,180.0,200.0,200.0,920.0
210058941500,160.0,180.0,140.0,160.0,160.0,800.0
210059959487,100.0,120.0,120.0,100.0,40.0,480.0
210059982325,100.0,120.0,80.0,60.0,60.0,420.0
210060440980,120.0,140.0,120.0,140.0,100.0,620.0
210060373830,100.0,180.0,140.0,140.0,160.0,720.0
210061103946,0.0,0.0,0.0,0.0,0.0,0.0
210060214088,100.0,120.0,100.0,120.0,120.0,560.0
210059388093,120.0,120.0,100.0,120.0,80.0,540.0
210059980949,140.0,40.0,40.0,100.0,40.0,360.0
210058061540,120.0,140.0,120.0,120.0,120.0,620.0
210058387334,100.0,120.0,120.0,100.0,60.0,500.0
210059085138,120.0,180.0,100.0,120.0,80.0,600.0
210061103947,140.0,200.0,180.0,160.0,160.0,840.0
210059388094,120.0,160.0,120.0,120.0,160.0,680.0
210059246972,160.0,200.0,200.0,200.0,200.0,960.0
210061234981,120.0,120.0,120.0,100.0,100.0,560.0
210061327761,120.0,120.0,100.0,120.0,60.0,520.0
210059587846,180.0,200.0,200.0,200.0,200.0,980.0
210058941492,120.0,200.0,180.0,180.0,200.0,880.0
210059959482,120.0,120.0,120.0,120.0,120.0,600.0
210058573817,120.0,140.0,120.0,120.0,0.0,500.0
210061234982,140.0,180.0,140.0,140.0,120.0,720.0
210061337583,140.0,160.0,120.0,160.0,160.0,740.0
210059587847,160.0,180.0,180.0,160.0,200.0,880.0
210058941494,160.0,200.0,180.0,200.0,200.0,940.0
210060373826,120.0,140.0,100.0,100.0,140.0,600.0
210058573818,160.0,200.0,180.0,200.0,160.0,900.0
210059246974,80.0,80.0,100.0,100.0,0.0,360.0
210061234983,100.0,100.0,80.0,100.0,0.0,380.0
210059587848,80.0,120.0,120.0,120.0,100.0,540.0
210058941496,160.0,200.0,160.0,160.0,200.0,880.0
210059959484,120.0,180.0,160.0,140.0,100.0,700.0
210060440977,140.0,120.0,120.0,140.0,180.0,700.0
210060373827,140.0,200.0,160.0,200.0,200.0,900.0
210061234984,120.0,180.0,140.0,120.0,120.0,680.0
210059587849,140.0,180.0,140.0,140.0,120.0,720.0
210059959485,120.0,120.0,100.0,100.0,40.0,480.0
210059982323,160.0,180.0,160.0,140.0,160.0,800.0
210060373828,120.0,160.0,100.0,120.0,80.0,580.0
210059246976,140.0,160.0,140.0,160.0,160.0,760.0
210061234985,120.0,120.0,80.0,100.0,0.0,420.0
210061337589,180.0,200.0,200.0,200.0,180.0,960.0
210059589781,140.0,180.0,180.0,200.0,200.0,900.0
210058061541,160.0,200.0,180.0,200.0,180.0,920.0
210059855124,120.0,120.0,120.0,120.0,60.0,540.0
210058387335,120.0,160.0,120.0,120.0,100.0,620.0
210059085139,120.0,120.0,80.0,120.0,20.0,460.0
210060801603,120.0,120.0,140.0,200.0,140.0,720.0
210059527738,120.0,160.0,140.0,180.0,180.0,780.0
210059388095,160.0,120.0,140.0,140.0,200.0,760.0
210059980951,120.0,120.0,120.0,120.0,60.0,540.0
210058061542,120.0,180.0,120.0,140.0,140.0,700.0
210059855125,120.0,160.0,120.0,140.0,80.0,620.0
210058387336,120.0,120.0,120.0,120.0,160.0,640.0
210059085140,80.0,40.0,40.0,100.0,40.0,300.0
210059855127,120.0,140.0,160.0,140.0,160.0,720.0
210059085142,100.0,120.0,100.0,100.0,180.0,600.0
210061327759,120.0,120.0,120.0,120.0,40.0,520.0
210059587845,120.0,200.0,120.0,140.0,160.0,740.0
210058941490,120.0,140.0,120.0,140.0,160.0,680.0
210059959481,100.0,140.0,120.0,100.0,100.0,560.0
210059982319,160.0,200.0,180.0,200.0,200.0,940.0
210060440974,60.0,100.0,80.0,40.0,0.0,280.0
210060373824,60.0,80.0,40.0,60.0,0.0,240.0
210059527739,120.0,80.0,80.0,100.0,40.0,420.0
210061103949,100.0,120.0,100.0,80.0,20.0,420.0
210059388096,120.0,140.0,140.0,120.0,40.0,560.0
210058061543,80.0,120.0,100.0,100.0,100.0,500.0
210058387337,140.0,40.0,40.0,140.0,40.0,400.0
210060801605,160.0,180.0,140.0,160.0,160.0,800.0
210059527740,100.0,120.0,100.0,120.0,120.0,560.0
210061103950,120.0,200.0,140.0,160.0,140.0,760.0
210060214092,120.0,160.0,120.0,160.0,200.0,760.0
210059388097,120.0,100.0,80.0,100.0,120.0,520.0
210061234991,120.0,80.0,80.0,100.0,60.0,440.0
210061337600,140.0,200.0,160.0,200.0,180.0,880.0
210059589787,120.0,140.0,120.0,120.0,100.0,600.0
210058941510,140.0,200.0,160.0,180.0,200.0,880.0
210059974460,140.0,40.0,40.0,120.0,40.0,380.0
210059982330,100.0,200.0,160.0,160.0,200.0,820.0
210060440985,120.0,120.0,120.0,120.0,80.0,560.0
210058573827,160.0,200.0,140.0,200.0,160.0,860.0
210059246983,160.0,120.0,140.0,160.0,140.0,720.0
210061234992,120.0,200.0,120.0,120.0,80.0,640.0
210061337602,0.0,0.0,0.0,0.0,0.0,0.0
210059589788,0.0,0.0,0.0,0.0,0.0,0.0
210058941511,120.0,100.0,100.0,120.0,80.0,520.0
210059974461,120.0,100.0,80.0,120.0,40.0,460.0
210059982331,100.0,120.0,120.0,120.0,60.0,520.0
210060440986,120.0,140.0,120.0,120.0,180.0,680.0
210058573828,120.0,120.0,120.0,100.0,120.0,580.0
210061337603,140.0,140.0,140.0,80.0,80.0,580.0
210059589789,120.0,200.0,140.0,160.0,200.0,820.0
210059982332,100.0,40.0,40.0,120.0,40.0,340.0
210060373837,160.0,180.0,160.0,180.0,160.0,840.0
210059246985,140.0,200.0,180.0,180.0,200.0,900.0
210061234995,120.0,160.0,120.0,120.0,120.0,640.0
210061337605,120.0,140.0,120.0,160.0,140.0,680.0
210059589790,100.0,100.0,80.0,100.0,100.0,480.0
210058941515,140.0,180.0,140.0,140.0,100.0,700.0
210059974463,120.0,200.0,120.0,120.0,120.0,680.0
210059982333,140.0,200.0,120.0,120.0,140.0,720.0
210060440988,160.0,200.0,160.0,140.0,140.0,800.0
210058573830,120.0,120.0,120.0,120.0,40.0,520.0
210059246986,100.0,160.0,140.0,180.0,120.0,700.0
210061337607,120.0,120.0,120.0,120.0,140.0,620.0
210059982334,140.0,120.0,120.0,100.0,80.0,560.0
210060440989,120.0,40.0,40.0,140.0,40.0,380.0
210058573831,140.0,200.0,180.0,180.0,140.0,840.0
210059246987,160.0,180.0,160.0,160.0,160.0,820.0
210061234997,120.0,120.0,120.0,120.0,80.0,560.0
210061337609,160.0,120.0,160.0,200.0,100.0,740.0
210059974465,160.0,200.0,140.0,180.0,180.0,860.0
210060440990,140.0,120.0,120.0,120.0,120.0,620.0
210060373840,100.0,180.0,100.0,120.0,120.0,620.0
210058573822,140.0,140.0,120.0,160.0,180.0,740.0
210059246978,180.0,180.0,140.0,140.0,120.0,760.0
210061234987,160.0,200.0,180.0,140.0,200.0,880.0
210060440981,160.0,200.0,180.0,160.0,180.0,880.0
210060373831,140.0,140.0,140.0,120.0,120.0,660.0
210058573823,120.0,120.0,120.0,120.0,80.0,560.0
210061234988,120.0,120.0,120.0,120.0,100.0,580.0
210061337594,140.0,120.0,120.0,120.0,80.0,580.0
210060440983,180.0,200.0,180.0,200.0,160.0,920.0
210060373833,0.0,0.0,0.0,0.0,0.0,0.0
210058573825,180.0,200.0,160.0,200.0,200.0,940.0
210061337598,120.0,100.0,100.0,120.0,0.0,440.0
210058941508,140.0,180.0,160.0,160.0,120.0,760.0
210060373834,120.0,160.0,140.0,140.0,120.0,680.0
210059589784,120.0,160.0,140.0,140.0,120.0,680.0
210058941505,160.0,200.0,180.0,180.0,160.0,880.0
210059974457,120.0,120.0,120.0,60.0,80.0,500.0
210059982327,140.0,200.0,180.0,160.0,120.0,800.0
210060440982,120.0,120.0,80.0,100.0,80.0,500.0
210060373832,140.0,120.0,100.0,100.0,40.0,500.0
210058573824,160.0,200.0,160.0,200.0,160.0,880.0
210061234989,120.0,120.0,120.0,120.0,60.0,540.0
210059246980,140.0,120.0,120.0,120.0,40.0,540.0
210061337596,160.0,200.0,180.0,200.0,200.0,940.0
210059589785,140.0,120.0,100.0,120.0,120.0,600.0
210059974458,120.0,120.0,120.0,120.0,80.0,560.0
210059982328,140.0,120.0,120.0,120.0,80.0,580.0
210060801613,120.0,160.0,120.0,140.0,60.0,600.0
210061103959,160.0,200.0,160.0,160.0,160.0,840.0
210059388105,120.0,140.0,120.0,120.0,180.0,680.0
210058061552,160.0,200.0,180.0,180.0,200.0,920.0
210059085151,120.0,180.0,120.0,120.0,100.0,640.0
210061103960,120.0,120.0,120.0,120.0,80.0,560.0
210061244803,120.0,120.0,120.0,120.0,40.0,520.0
210061337610,80.0,100.0,80.0,80.0,100.0,440.0
210058941522,120.0,140.0,120.0,120.0,80.0,580.0
210059589793,120.0,120.0,100.0,100.0,60.0,500.0
210059974466,160.0,200.0,160.0,180.0,200.0,900.0
210059982336,120.0,120.0,120.0,120.0,120.0,600.0
210060440991,160.0,200.0,180.0,200.0,200.0,940.0
210060373841,80.0,40.0,40.0,80.0,40.0,280.0
210059246989,100.0,120.0,120.0,120.0,100.0,560.0
210058573833,160.0,200.0,160.0,160.0,200.0,880.0
210061244804,140.0,200.0,140.0,160.0,180.0,820.0
210061337613,60.0,40.0,40.0,40.0,40.0,220.0
210058387341,140.0,180.0,120.0,140.0,120.0,700.0
210059085145,120.0,120.0,120.0,160.0,160.0,680.0
210060801609,120.0,120.0,120.0,120.0,0.0,480.0
210061103955,140.0,120.0,160.0,140.0,160.0,720.0
210060214096,140.0,200.0,120.0,120.0,140.0,720.0
210059388101,160.0,180.0,140.0,200.0,200.0,880.0
210058061548,140.0,160.0,120.0,140.0,120.0,680.0
210058387342,160.0,160.0,120.0,180.0,160.0,780.0
210059085146,160.0,200.0,180.0,160.0,200.0,900.0
210060801610,120.0,120.0,100.0,120.0,120.0,580.0
210059527746,120.0,100.0,120.0,120.0,60.0,520.0
210060214097,140.0,120.0,120.0,140.0,160.0,680.0
210058061549,160.0,120.0,120.0,120.0,140.0,660.0
210059980958,120.0,160.0,80.0,120.0,80.0,560.0
210058387343,140.0,140.0,140.0,160.0,160.0,740.0
210059085147,140.0,160.0,160.0,160.0,120.0,740.0
210060801611,120.0,120.0,120.0,120.0,140.0,620.0
210059527747,80.0,80.0,80.0,80.0,0.0,320.0
210061103957,120.0,180.0,120.0,120.0,100.0,640.0
210058061550,120.0,120.0,120.0,140.0,80.0,580.0
210059855133,180.0,200.0,200.0,200.0,180.0,960.0
210058387344,100.0,200.0,120.0,140.0,180.0,740.0
210060801612,120.0,180.0,100.0,100.0,140.0,640.0
210060214099,100.0,120.0,120.0,120.0,80.0,540.0
210059388104,160.0,200.0,200.0,200.0,180.0,940.0
210059980960,160.0,200.0,120.0,160.0,180.0,820.0
210059855134,120.0,140.0,100.0,140.0,80.0,580.0
210059085150,140.0,200.0,140.0,160.0,120.0,760.0
210059974467,120.0,120.0,120.0,120.0,120.0,600.0
210059982337,160.0,120.0,120.0,160.0,120.0,680.0
210060373842,80.0,100.0,80.0,100.0,0.0,360.0
210061244805,140.0,160.0,120.0,160.0,160.0,740.0
210061337614,120.0,200.0,120.0,160.0,160.0,760.0
210059589795,160.0,160.0,140.0,120.0,120.0,700.0
210059974468,140.0,120.0,120.0,120.0,40.0,540.0
210059982338,140.0,200.0,140.0,160.0,120.0,760.0
210060440993,120.0,120.0,120.0,120.0,0.0,480.0
210059388099,100.0,80.0,80.0,100.0,20.0,380.0
210059980955,120.0,100.0,80.0,100.0,40.0,440.0
210058061546,140.0,140.0,100.0,120.0,100.0,600.0
210059855129,120.0,200.0,120.0,140.0,140.0,720.0
