nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210058387340,120.0,200.0,140.0,120.0,140.0,720.0
210059085144,100.0,120.0,120.0,120.0,100.0,560.0
210060801608,80.0,120.0,120.0,120.0,40.0,480.0
210059527744,120.0,160.0,120.0,120.0,80.0,600.0
210061103954,140.0,160.0,160.0,160.0,140.0,760.0
210060214095,60.0,180.0,100.0,80.0,80.0,500.0
210059388100,140.0,200.0,120.0,120.0,140.0,720.0
210059980956,160.0,200.0,140.0,160.0,160.0,820.0
210058061547,120.0,40.0,40.0,120.0,40.0,360.0
210059855130,160.0,180.0,160.0,160.0,160.0,820.0
210058573835,160.0,200.0,180.0,180.0,200.0,920.0
210059527742,160.0,180.0,160.0,160.0,180.0,840.0
210061103952,160.0,180.0,160.0,160.0,120.0,780.0
210060214093,160.0,200.0,160.0,160.0,160.0,840.0
210059388098,120.0,180.0,120.0,120.0,120.0,660.0
210059980954,120.0,80.0,120.0,120.0,80.0,520.0
210058061545,140.0,200.0,140.0,160.0,160.0,800.0
210058387339,140.0,160.0,180.0,180.0,160.0,820.0
210059085143,120.0,160.0,120.0,140.0,140.0,680.0
210061103953,120.0,120.0,120.0,120.0,120.0,600.0
210058061557,140.0,180.0,160.0,140.0,120.0,740.0
210059855140,120.0,120.0,100.0,120.0,60.0,520.0
210058387351,140.0,200.0,120.0,140.0,200.0,800.0
210060801619,120.0,120.0,140.0,140.0,120.0,640.0
210059085156,100.0,180.0,120.0,120.0,60.0,580.0
210059540788,160.0,120.0,140.0,180.0,40.0,640.0
210060214106,120.0,120.0,120.0,120.0,120.0,600.0
210059980967,120.0,120.0,120.0,120.0,120.0,600.0
210058073302,160.0,120.0,140.0,160.0,100.0,680.0
210059855141,160.0,180.0,160.0,200.0,200.0,900.0
210058387352,160.0,180.0,140.0,160.0,160.0,800.0
210059085157,160.0,200.0,200.0,200.0,200.0,960.0
210060801620,160.0,180.0,140.0,140.0,180.0,800.0
210059540789,120.0,180.0,120.0,120.0,140.0,680.0
210061103966,120.0,120.0,120.0,120.0,100.0,580.0
210060214107,160.0,180.0,140.0,180.0,180.0,840.0
210059388112,180.0,200.0,180.0,160.0,200.0,920.0
210058073303,120.0,180.0,120.0,140.0,120.0,680.0
210059855142,160.0,200.0,200.0,180.0,200.0,940.0
210059085158,100.0,100.0,100.0,120.0,100.0,520.0
210059540790,100.0,140.0,100.0,80.0,120.0,540.0
210061103967,120.0,120.0,120.0,80.0,80.0,520.0
210059388113,160.0,200.0,180.0,180.0,200.0,920.0
210059980969,140.0,160.0,140.0,100.0,100.0,640.0
210058073304,160.0,200.0,160.0,160.0,200.0,880.0
210059855143,160.0,200.0,140.0,160.0,180.0,840.0
210058387354,140.0,200.0,160.0,160.0,140.0,800.0
210060801621,160.0,200.0,120.0,160.0,120.0,760.0
210059540791,120.0,180.0,120.0,120.0,100.0,640.0
210060214109,120.0,80.0,80.0,120.0,120.0,520.0
210058073305,140.0,200.0,140.0,160.0,120.0,760.0
210059868169,120.0,120.0,100.0,120.0,60.0,520.0
210058387355,100.0,40.0,40.0,100.0,60.0,340.0
210060811451,120.0,160.0,120.0,160.0,140.0,700.0
210059540792,120.0,160.0,120.0,120.0,120.0,640.0
210061337617,160.0,200.0,160.0,200.0,200.0,920.0
210059589796,120.0,120.0,120.0,120.0,80.0,560.0
210059974469,120.0,180.0,120.0,120.0,120.0,660.0
210060440994,120.0,180.0,120.0,140.0,140.0,700.0
210060376426,120.0,120.0,120.0,120.0,60.0,540.0
210058573836,140.0,180.0,140.0,180.0,140.0,780.0
210059246991,120.0,120.0,100.0,120.0,100.0,560.0
210059388106,120.0,120.0,100.0,120.0,140.0,600.0
210059980962,120.0,140.0,120.0,120.0,120.0,620.0
210058061553,100.0,140.0,120.0,140.0,180.0,680.0
210059855136,160.0,200.0,180.0,180.0,160.0,880.0
210058387347,140.0,120.0,120.0,140.0,140.0,660.0
210059085152,80.0,120.0,100.0,100.0,120.0,520.0
210060801615,140.0,120.0,100.0,120.0,160.0,640.0
210060214102,140.0,140.0,120.0,120.0,140.0,660.0
210059388107,120.0,120.0,120.0,120.0,0.0,480.0
210059980963,0.0,0.0,0.0,0.0,0.0,0.0
210058061554,120.0,120.0,100.0,80.0,160.0,580.0
210059855137,160.0,200.0,180.0,200.0,200.0,940.0
210061103963,160.0,140.0,140.0,120.0,100.0,660.0
210059388109,100.0,100.0,100.0,100.0,80.0,480.0
210058061556,120.0,140.0,120.0,100.0,100.0,580.0
210059855139,160.0,200.0,200.0,180.0,180.0,920.0
210058387350,120.0,120.0,120.0,100.0,100.0,560.0
210059085155,120.0,200.0,160.0,160.0,200.0,840.0
210060801618,140.0,180.0,120.0,160.0,140.0,740.0
210061103964,140.0,160.0,140.0,180.0,80.0,700.0
210059388110,120.0,140.0,100.0,120.0,160.0,640.0
210059980966,100.0,80.0,80.0,80.0,80.0,420.0
210059085153,140.0,180.0,160.0,140.0,20.0,640.0
210059540785,100.0,120.0,100.0,80.0,40.0,440.0
210060801616,160.0,200.0,180.0,200.0,200.0,940.0
210060214103,120.0,140.0,100.0,120.0,120.0,600.0
210059980964,120.0,160.0,120.0,120.0,0.0,520.0
210058061555,120.0,180.0,100.0,120.0,100.0,620.0
210059855138,100.0,120.0,100.0,120.0,40.0,480.0
210058387349,160.0,200.0,160.0,200.0,200.0,920.0
210059085154,120.0,120.0,120.0,100.0,60.0,520.0
210060801617,160.0,180.0,160.0,160.0,140.0,800.0
210059540786,160.0,200.0,160.0,160.0,120.0,800.0
210061244816,120.0,120.0,120.0,120.0,80.0,560.0
210059589806,60.0,80.0,80.0,40.0,0.0,260.0
210058954684,160.0,180.0,140.0,180.0,200.0,860.0
210059974480,100.0,160.0,100.0,120.0,120.0,600.0
210059982350,120.0,180.0,120.0,140.0,140.0,700.0
210058573845,120.0,200.0,140.0,160.0,200.0,820.0
210061244817,100.0,80.0,120.0,120.0,100.0,520.0
210061347472,140.0,60.0,60.0,100.0,60.0,420.0
210059589807,100.0,120.0,120.0,120.0,100.0,560.0
210058954686,160.0,200.0,160.0,160.0,200.0,880.0
210059974481,100.0,120.0,80.0,120.0,80.0,500.0
210061337618,140.0,200.0,140.0,160.0,120.0,760.0
210059589797,120.0,120.0,80.0,80.0,20.0,420.0
210058941531,80.0,60.0,60.0,80.0,40.0,320.0
210059974470,120.0,120.0,120.0,120.0,120.0,600.0
210059982340,120.0,120.0,120.0,120.0,120.0,600.0
210060440995,140.0,180.0,140.0,120.0,0.0,580.0
210059246992,120.0,40.0,40.0,100.0,20.0,320.0
210061337620,120.0,120.0,120.0,100.0,0.0,460.0
210059589798,160.0,180.0,160.0,180.0,200.0,880.0
210058941533,120.0,120.0,100.0,120.0,60.0,520.0
210058573841,120.0,120.0,80.0,120.0,100.0,540.0
210061337632,140.0,140.0,120.0,160.0,140.0,700.0
210059974476,120.0,160.0,120.0,140.0,100.0,640.0
210059982346,160.0,200.0,200.0,180.0,160.0,900.0
210060441001,100.0,100.0,100.0,120.0,40.0,460.0
210060376433,160.0,200.0,200.0,200.0,200.0,960.0
210058573842,80.0,140.0,120.0,80.0,100.0,520.0
210059246998,100.0,120.0,120.0,120.0,100.0,560.0
210061244813,80.0,160.0,120.0,80.0,80.0,520.0
210061337634,140.0,180.0,140.0,180.0,120.0,760.0
210059589803,120.0,180.0,120.0,140.0,120.0,680.0
210058954678,140.0,200.0,120.0,120.0,140.0,720.0
210059974477,80.0,180.0,120.0,160.0,160.0,700.0
210059982347,160.0,200.0,200.0,180.0,200.0,940.0
210060376434,0.0,0.0,0.0,0.0,0.0,0.0
210059246999,120.0,180.0,120.0,140.0,80.0,640.0
210061244814,120.0,160.0,140.0,100.0,100.0,620.0
210061337637,160.0,180.0,140.0,160.0,160.0,800.0
210058954680,0.0,0.0,0.0,0.0,0.0,0.0
210059589804,160.0,180.0,160.0,160.0,180.0,840.0
210060441003,120.0,160.0,120.0,120.0,160.0,680.0
210058573843,100.0,80.0,60.0,80.0,0.0,320.0
210059247000,100.0,120.0,120.0,100.0,100.0,540.0
210061244815,120.0,100.0,100.0,120.0,80.0,520.0
210061337640,120.0,160.0,100.0,120.0,120.0,620.0
210059589805,120.0,120.0,120.0,140.0,100.0,600.0
210058954682,160.0,200.0,180.0,160.0,160.0,860.0
210059974479,120.0,100.0,80.0,120.0,80.0,500.0
210059982349,0.0,0.0,0.0,0.0,0.0,0.0
210060441004,160.0,200.0,160.0,180.0,180.0,880.0
210059247001,120.0,160.0,100.0,120.0,120.0,620.0
210060440996,160.0,140.0,140.0,160.0,160.0,760.0
210060376428,160.0,120.0,120.0,160.0,160.0,720.0
210061244808,180.0,200.0,200.0,200.0,200.0,980.0
210061337623,140.0,180.0,140.0,180.0,180.0,820.0
210059589799,140.0,140.0,120.0,100.0,20.0,520.0
210058954668,200.0,200.0,180.0,200.0,200.0,980.0
210059974472,160.0,200.0,180.0,200.0,200.0,940.0
210059982342,160.0,200.0,160.0,180.0,200.0,900.0
210060440997,100.0,160.0,120.0,120.0,180.0,680.0
210058573838,120.0,120.0,120.0,100.0,120.0,580.0
210060376429,160.0,200.0,180.0,160.0,200.0,900.0
210058954672,120.0,120.0,100.0,100.0,0.0,440.0
210059982344,160.0,200.0,160.0,180.0,200.0,900.0
210058573840,160.0,200.0,160.0,180.0,180.0,880.0
210059246996,160.0,200.0,160.0,200.0,200.0,920.0
210061244811,160.0,200.0,160.0,180.0,200.0,900.0
210059589801,140.0,160.0,160.0,120.0,120.0,700.0
210059974475,80.0,120.0,120.0,100.0,20.0,440.0
210060441000,120.0,160.0,140.0,160.0,140.0,720.0
210059246994,120.0,140.0,120.0,100.0,160.0,640.0
210061337625,120.0,200.0,120.0,160.0,160.0,760.0
210058954670,160.0,160.0,120.0,140.0,120.0,700.0
210059974473,120.0,120.0,120.0,140.0,120.0,620.0
210059982343,140.0,200.0,160.0,160.0,140.0,800.0
210060440998,120.0,160.0,120.0,120.0,120.0,640.0
210058573839,40.0,40.0,20.0,0.0,0.0,100.0
210059246995,160.0,140.0,160.0,160.0,160.0,780.0
210061244810,160.0,140.0,140.0,160.0,140.0,740.0
210061337627,160.0,200.0,160.0,160.0,200.0,880.0
210059589800,120.0,40.0,40.0,120.0,40.0,360.0
210058573849,120.0,200.0,140.0,160.0,140.0,760.0
210059260088,160.0,160.0,120.0,120.0,140.0,700.0
210061244822,120.0,140.0,100.0,140.0,120.0,620.0
210059974486,80.0,60.0,60.0,80.0,20.0,300.0
210060441011,140.0,80.0,60.0,80.0,80.0,440.0
210058573850,160.0,200.0,180.0,200.0,200.0,940.0
210059260089,140.0,120.0,120.0,160.0,140.0,680.0
210061347483,100.0,120.0,120.0,120.0,80.0,540.0
210061244823,140.0,140.0,120.0,160.0,160.0,720.0
210058954697,120.0,120.0,120.0,120.0,100.0,580.0
210060441012,100.0,40.0,40.0,120.0,40.0,340.0
210058573851,160.0,200.0,200.0,200.0,180.0,940.0
210061244824,140.0,120.0,120.0,140.0,100.0,620.0
210061347486,160.0,200.0,180.0,200.0,200.0,940.0
210059974488,120.0,200.0,120.0,120.0,40.0,600.0
210059897897,140.0,200.0,180.0,180.0,140.0,840.0
210060441013,160.0,180.0,160.0,200.0,160.0,860.0
210061103970,120.0,140.0,120.0,160.0,140.0,680.0
210059401152,100.0,40.0,40.0,100.0,40.0,320.0
210058387356,140.0,120.0,120.0,160.0,180.0,720.0
210059085161,120.0,60.0,60.0,100.0,60.0,400.0
210059540793,120.0,160.0,120.0,80.0,160.0,640.0
210061103971,160.0,200.0,180.0,180.0,200.0,920.0
210060214111,120.0,40.0,40.0,80.0,40.0,320.0
210059401153,140.0,200.0,160.0,200.0,200.0,900.0
210058387357,140.0,180.0,140.0,160.0,120.0,740.0
210059085162,160.0,160.0,160.0,180.0,120.0,780.0
210060811453,120.0,200.0,120.0,160.0,160.0,760.0
210059540794,120.0,120.0,120.0,80.0,20.0,460.0
210061103972,120.0,120.0,120.0,100.0,60.0,520.0
210060214112,120.0,180.0,140.0,160.0,100.0,700.0
210059401154,140.0,200.0,160.0,160.0,100.0,760.0
210059980973,140.0,160.0,140.0,160.0,160.0,760.0
210059982351,120.0,160.0,120.0,160.0,160.0,720.0
210060441006,120.0,120.0,120.0,120.0,100.0,580.0
210060376438,120.0,200.0,140.0,200.0,200.0,860.0
210058573846,120.0,200.0,120.0,160.0,140.0,740.0
210059247003,100.0,120.0,60.0,100.0,80.0,460.0
210061347475,120.0,120.0,120.0,120.0,80.0,560.0
210061244818,120.0,160.0,120.0,120.0,120.0,640.0
210059589808,120.0,180.0,120.0,140.0,80.0,640.0
210059974482,120.0,140.0,100.0,120.0,100.0,580.0
210059982352,140.0,120.0,120.0,120.0,120.0,620.0
210060441007,120.0,100.0,80.0,80.0,80.0,460.0
210060376439,120.0,120.0,100.0,120.0,120.0,580.0
210058573847,140.0,200.0,140.0,120.0,120.0,720.0
210059974484,160.0,200.0,180.0,180.0,160.0,880.0
210060441009,60.0,120.0,80.0,60.0,0.0,320.0
210058573848,120.0,120.0,120.0,100.0,100.0,560.0
210059260087,80.0,200.0,120.0,160.0,160.0,720.0
210061244821,120.0,140.0,120.0,160.0,120.0,660.0
210061347480,160.0,200.0,180.0,180.0,160.0,880.0
210059589811,120.0,180.0,120.0,120.0,120.0,660.0
210059974485,140.0,120.0,100.0,120.0,100.0,580.0
210060441010,120.0,120.0,120.0,100.0,80.0,540.0
210059247004,140.0,140.0,140.0,140.0,120.0,680.0
210061347476,120.0,120.0,80.0,100.0,0.0,420.0
210058954689,140.0,180.0,120.0,160.0,160.0,760.0
210059982353,140.0,100.0,100.0,120.0,0.0,460.0
210060441008,140.0,180.0,140.0,140.0,160.0,760.0
210060376440,80.0,120.0,80.0,120.0,100.0,500.0
210059260086,140.0,180.0,140.0,160.0,160.0,780.0
210061244820,160.0,160.0,140.0,160.0,180.0,800.0
210059589810,120.0,120.0,100.0,100.0,140.0,580.0
210061347477,160.0,200.0,180.0,200.0,200.0,940.0
210058954691,180.0,200.0,200.0,200.0,180.0,960.0
210060811464,160.0,200.0,200.0,200.0,180.0,940.0
210059540805,60.0,60.0,60.0,80.0,20.0,280.0
210061103982,180.0,180.0,180.0,180.0,160.0,880.0
210059401165,100.0,40.0,40.0,80.0,60.0,320.0
210058073319,100.0,40.0,40.0,100.0,40.0,320.0
210059868183,160.0,200.0,200.0,200.0,200.0,960.0
210059085173,160.0,180.0,120.0,160.0,100.0,720.0
210059540806,140.0,180.0,140.0,140.0,120.0,720.0
210058387358,120.0,140.0,120.0,120.0,120.0,620.0
